DateTime,TargetDate,Phase,Code,Name,Score,Gap,Rev,Vol,Sector,WeekChg,AvgRange,RSI,RevGrow,ProfGrow,Reasons
2026-03-18 15:44,2026-03-19,盘后,002717,ST岭南,62,13,29,12,"数字水印",-1.72,4.24,32.7,-68.752784583,23.3387805595,"阴线; 逆板块下跌(板块+4.44%); 板块大涨+4.44%; RSI超卖(32.7); MA20支撑; 历史低开高走次; 中盘股31亿"
2026-03-18 15:47,2026-03-19,盘后,002156,通富微电,56,0,29,16,"集成电路封测",0.66,5.01,33.7,17.7678634296,55.7407343586,"板块大涨+4.01%; RSI超卖(33.7); MA20支撑; 历史低开高走6次; 中高波动(5.01%); 财报+5分"
2026-03-18 16:06,2026-03-19,盘后,科技,002717,ST岭南,62,13,29,12,"数字水印",-1.72,4.24,32.7,-68.752784583,23.3387805595,"阴线; 逆板块下跌(板块+4.44%); 板块大涨+4.44%; RSI超卖(32.7); MA20支撑; 历史低开高走5次; 中盘股31亿"
2026-03-18 16:06,2026-03-19,盘后,非科技,300212,易华录,43,5,20,12,"国资云概念",-7.3,4.47,34.7,,,"弱于板块; RSI超卖(34.7); 历史低开高走5次; 中盘股80亿"
2026-03-18 16:41,2026-03-19,盘后,科技,002717,ST岭南,62,13,29,12,"数字水印",-1.72,4.24,32.7,-68.752784583,23.3387805595,"阴线; 逆板块下跌(板块+4.44%); 板块大涨+4.44%; RSI超卖(32.7); MA20支撑; 历史低开高走5次; 中盘股31亿"
2026-03-18 16:41,2026-03-19,盘后,非科技,300212,易华录,43,5,20,12,"国资云概念",-7.3,4.47,34.7,,,"弱于板块; RSI超卖(34.7); 历史低开高走5次; 中盘股80亿"
2026-03-19 09:40,2026-03-19,盘中,非科技,600759,洲际油气,54,17,18,16,"油气开采Ⅲ/油气开采Ⅱ",-7.31,6.76,55.7,-19.9415986998,-46.6070976911,"极弱收盘(底部9%); 阴线; MA20支撑; 历史低开高走6次; 中高波动(6.76%); 中盘股284亿; 财报-5分"
2026-03-19 09:42,2026-03-19,盘中,非科技,600759,洲际油气,54,17,18,16,"油气开采Ⅲ/油气开采Ⅱ",-7.04,6.76,55.9,-19.9415986998,-46.6070976911,"极弱收盘(底部18%); 阴线; MA20支撑; 历史低开高走6次; 中高波动(6.76%); 中盘股285亿; 财报-5分"
2026-03-19 13:35,2026-03-19,盘中,科技,002256,兆新股份,66,25,13,12,"光伏发电",2.75,4.87,60.4,34.4466534273,105.5026204331,"极弱收盘(底部5%); 阴线; 逆板块下跌(板块+2.9%); 历史低开高走4次; 中盘股82亿; 财报+8分"
2026-03-19 13:35,2026-03-19,盘中,非科技,600370,三房巷,68,25,17,20,"昨日打二板以上表现",37.5,7.39,77.2,-12.4866183257,-60.2026745986,"极弱收盘(底部18%); 阴线; 逆板块下跌(板块+4.58%); 板块大涨+4.58%; 历史低开高走6次; 高波动(振幅7.39%); 中盘股132亿; 量比1.66; 财报-5分"
2026-03-19 06:08,2026-03-19,盘后,科技,002256,兆新股份,66,25,13,12,"光伏发电",2.75,4.91,60.4,34.4466534273,105.5026204331,"极弱收盘(底部13%); 阴线; 逆板块下跌(板块+3.17%); 历史低开高走4次; 中盘股82亿; 财报+8分"
2026-03-19 06:08,2026-03-19,盘后,非科技,600635,大众公用,52,18,12,12,"燃气Ⅲ/燃气Ⅱ",-3.73,4.8,47.3,-2.709685559,205.1384268038,"弱势收盘; 阴线; 弱于板块; 板块大涨+4.97%; 中盘股183亿"
