"Date","Code","Name","Price","Score","SignalType","HoldPeriod","PosSize","StopLoss","SentimentIdx","PE_TTM","PEG"
"2026-03-13","000921","海信家电","22.64","76","主题热点","短线 1-2周","15-20%","20.83","5","9.31",
"2026-03-13","300786","国林科技","15.54","70","主题热点","短线 1-2周","10-15%","14.3","5","-88.39","-1.77"
"2026-03-13","000902","新洋丰","18.39","66","主题热点","短线 1-2周","10-15%","16.92","5","14.64","0.63"
"2026-03-13","603726","朗迪集团","25.2","64","主题热点","短线 1-2周","10-15%","23.18","5","21.75","0.67"
"2026-03-13","002324","普利特","16.86","51","主题热点","短线 1-2周","5-10%","15.51","5","72.96","1.32"
"2026-03-13","600388","龙净环保","19.21","46","主题热点","短线 1-2周","5-10%","17.67","5","25.33","1.24"
"2026-03-13","600619","海立股份","17.88","38","主题热点","短线 1-2周","5-10%","16.45","5","288.72","2.01"
"2026-03-14","000921","海信家电","22.64","76","主题热点","短线 1-2周","15-20%","20.83","5","9.31",
"2026-03-14","300786","国林科技","15.54","72","价值洼地","长线 3-6月","10-15%","14.3","5","-88.39","-1.77"
"2026-03-14","603726","朗迪集团","25.2","69","价值洼地","长线 3-6月","10-15%","23.18","5","21.75","0.67"
"2026-03-14","000902","新洋丰","18.39","68","价值洼地","长线 3-6月","10-15%","16.92","5","14.64","0.63"
"2026-03-14","002324","普利特","16.86","51","主题热点","短线 1-2周","5-10%","15.51","5","72.96","1.32"
"2026-03-14","600388","龙净环保","19.21","46","主题热点","短线 1-2周","5-10%","17.67","5","25.33","1.24"
"2026-03-14","600039","四川路桥","9.95","42","主题热点","短线 1-2周","5-10%","9.15","5","11.18","1.02"
"2026-03-14","600619","海立股份","17.88","38","主题热点","短线 1-2周","5-10%","16.45","5","288.72","2.01"
"2026-03-16","600150","中国船舶","0","60","主题热点","短线 1-2周","10-15%","0","5","39.23","0.34"
"2026-03-16","000768","中航西飞","0","40","主题热点","短线 1-2周","5-10%","0","5","69.73","13.41"
"2026-03-16","600661","昂立教育","10.17","94","主题热点","短线 1-2周","15-20%","9.36","5","-134.9","-0.95"
"2026-03-16","002170","芭田股份","14.05","87","景气反转","波段 1-2月","15-20%","12.93","5","15.2","0.06"
"2026-03-16","002342","巨力索具","14.00","80","主题热点","短线 1-2周","15-20%","12.88","5","-412.2","-1.05"
"2026-03-16","601127","赛力斯","103.43","73","主题热点","短线 1-2周","10-15%","94.88","5","24.9","0.79"
"2026-03-16","600179","安通控股","4.54","66","主题热点","短线 1-2周","10-15%","4.18","5","","0.06"
"2026-03-16","600097","开创国际","12.14","51","主题热点","短线 1-2周","5-10%","11.17","5","28.0",""
"2026-03-16","603668","天马科技","13.43","51","主题热点","短线 1-2周","5-10%","12.36","5","247.9",""
"2026-03-16","601022","宁波远洋","9.56","51","主题热点","短线 1-2周","5-10%","8.8","5","","0.58"
"2026-03-16","000823","超声电子","16.13","39","主题热点","短线 1-2周","5-10%","14.84","5","35.1",""
"2026-03-16","002594","比亚迪","104.98","30","主题热点","短线 1-2周","5-10%","96.58","5","24.9",""
"2026-03-17","601899","紫金矿业","0","80","主题热点","短线 1-2周","15-20%","","5","20.28","0.37"
"2026-03-17","600547","山东黄金","0","71","主题热点","短线 1-2周","10-15%","","5","41.98","0.46"
"2026-03-17","603501","韦尔股份","0","71","主题热点","短线 1-2周","10-15%","","5","33.45","0.95"
"2026-03-17","002230","科大讯飞","0","49","主题热点","短线 1-2周","5-10%","","5","143.95","1.79"
"2026-03-17","002049","紫光国微","0","48","主题热点","短线 1-2周","5-10%","","5","44.24","1.77"
"2026-03-17","000977","浪潮信息","0","48","主题热点","短线 1-2周","5-10%","","5","35.75","2.34"
"2026-03-17","300408","三环集团","55.55","51","主题热点","短线 1-2周","5-10%","51.11","6","41.84","1.88"
"2026-03-17","600363","联创光电","57.06","47","主题热点","短线 1-2周","5-10%","52.5","6","84.04","4.33"
"2026-03-17","600732","爱旭股份","15.12","82","景气反转","波段 1-2月","15-20%","13.91","5","-10.58","-0.13"
"2026-03-17","000778","新兴铸管","4.91","63","价值洼地","长线 3-6月","10-15%","4.52","5","50.65","1.13"
"2026-03-17","300776","帝尔激光","83.45","44","主题热点","短线 1-2周","5-10%","76.77","5","43.24","1.47"
"2026-03-17","600388","龙净环保","18.6","41","主题热点","短线 1-2周","5-10%","17.11","5",,""
"2026-03-17","601211","国泰海通","18.11","100","价值洼地","长线 3-6月","15-20%","16.66","5","12.5","0.09"
"2026-03-17","600030","中信证券","26.1","100","价值洼地","长线 3-6月","15-20%","24.01","5","12.87","0.34"
"2026-03-17","601555","东吴证券","8.7","100","价值洼地","长线 3-6月","15-20%","8","5","12.45","0.21"
